2022-05-26 19:31:04,503 | ffb_producer | INFO | User record b'DE000PD5VYS4' successfully produced to trade-events [0] at offset 114
2022-05-26 19:31:04,518 | ffb_producer | INFO | User record b'DE000KG3B4S0' successfully produced to trade-events [0] at offset 115
2022-05-26 19:31:04,535 | ffb_producer | INFO | User record b'DE000KG3C9L3' successfully produced to trade-events [0] at offset 116
2022-05-26 19:31:04,550 | ffb_producer | INFO | User record b'DE000KG3LBP6' successfully produced to trade-events [0] at offset 117
2022-05-26 19:31:04,566 | ffb_producer | INFO | User record b'DE000VV1ZBV6' successfully produced to trade-events [0] at offset 118
2022-05-26 19:31:04,581 | ffb_producer | INFO | User record b'DE000HG37XC7' successfully produced to trade-events [0] at offset 119
2022-05-26 19:31:04,597 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 120
2022-05-26 19:31:04,614 | ffb_producer | INFO | User record b'DE000VV15TN8' successfully produced to trade-events [0] at offset 121
2022-05-26 19:31:04,629 | ffb_producer | INFO | User record b'DE000UK13TC1' successfully produced to trade-events [0] at offset 122
2022-05-26 19:31:04,644 | ffb_producer | INFO | User record b'DE000CL9ED00' successfully produced to trade-events [0] at offset 123
2022-05-26 19:31:04,660 | ffb_producer | INFO | User record b'DE000HG2L744' successfully produced to trade-events [0] at offset 124
2022-05-26 19:31:04,675 | ffb_producer | INFO | User record b'DE000VX11VY6' successfully produced to trade-events [0] at offset 125
2022-05-26 19:31:04,690 | ffb_producer | INFO | User record b'DE000VP5QAR4' successfully produced to trade-events [0] at offset 126
2022-05-26 19:31:04,705 | ffb_producer | INFO | User record b'DE000SF4MK46' successfully produced to trade-events [0] at offset 127
2022-05-26 19:31:04,721 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 128
2022-05-26 19:31:04,735 | ffb_producer | INFO | User record b'DE000HB43729' successfully produced to trade-events [0] at offset 129
2022-05-26 19:31:04,752 | ffb_producer | INFO | User record b'DE000GK3XH28' successfully produced to trade-events [0] at offset 130
2022-05-26 19:31:04,767 | ffb_producer | INFO | User record b'DE000VX8AAW2' successfully produced to trade-events [0] at offset 131
2022-05-26 19:31:04,783 | ffb_producer | INFO | User record b'DE000PD5VYS4' successfully produced to trade-events [0] at offset 132
2022-05-26 19:31:04,799 | ffb_producer | INFO | User record b'DE000SH7TP21' successfully produced to trade-events [0] at offset 133
2022-05-26 19:31:04,814 | ffb_producer | INFO | User record b'DE000VV2MVH9' successfully produced to trade-events [0] at offset 134
2022-05-26 19:31:04,830 | ffb_producer | INFO | User record b'DE000KG3J9C5' successfully produced to trade-events [0] at offset 135
2022-05-26 19:31:04,846 | ffb_producer | INFO | User record b'DE000KG14YX4' successfully produced to trade-events [0] at offset 136
2022-05-26 19:31:04,861 | ffb_producer | INFO | User record b'DE000PD4GBH9' successfully produced to trade-events [0] at offset 137
2022-05-26 19:31:04,876 | ffb_producer | INFO | User record b'DE000DV9R2R6' successfully produced to trade-events [0] at offset 138
2022-05-26 19:31:04,891 | ffb_producer | INFO | User record b'DE000UK0XBE3' successfully produced to trade-events [0] at offset 139
2022-05-26 19:31:04,906 | ffb_producer | INFO | User record b'DE000PH3LML6' successfully produced to trade-events [0] at offset 140
2022-05-26 19:31:04,922 | ffb_producer | INFO | User record b'DE000VP4GC54' successfully produced to trade-events [0] at offset 141
2022-05-26 19:31:04,938 | ffb_producer | INFO | User record b'DE000DW014P9' successfully produced to trade-events [0] at offset 142
2022-05-26 19:31:04,952 | ffb_producer | INFO | User record b'DE000KF92LW1' successfully produced to trade-events [0] at offset 143
2022-05-26 19:31:04,967 | ffb_producer | INFO | User record b'DE000UK2QZG7' successfully produced to trade-events [0] at offset 144
2022-05-26 19:31:04,984 | ffb_producer | INFO | User record b'DE000GK4AU68' successfully produced to trade-events [0] at offset 145
2022-05-26 19:31:04,999 | ffb_producer | INFO | User record b'DE000HB3ZNZ0' successfully produced to trade-events [0] at offset 146
2022-05-26 19:31:05,014 | ffb_producer | INFO | User record b'DE000HG30QY0' successfully produced to trade-events [0] at offset 147
2022-05-26 19:31:05,030 | ffb_producer | INFO | User record b'DE000PH498P9' successfully produced to trade-events [0] at offset 148
2022-05-26 19:31:05,045 | ffb_producer | INFO | User record b'DE000DW2UKW5' successfully produced to trade-events [0] at offset 149
2022-05-26 19:31:05,059 | ffb_producer | INFO | User record b'DE000KE9MN06' successfully produced to trade-events [0] at offset 150
2022-05-26 19:31:05,076 | ffb_producer | INFO | User record b'DE000SR8CND4' successfully produced to trade-events [0] at offset 151
2022-05-26 19:31:05,090 | ffb_producer | INFO | User record b'DE000KE1DQH4' successfully produced to trade-events [0] at offset 152
2022-05-26 19:31:05,106 | ffb_producer | INFO | User record b'DE000SN09557' successfully produced to trade-events [0] at offset 153
2022-05-26 19:31:05,121 | ffb_producer | INFO | User record b'DE000UH10Z06' successfully produced to trade-events [0] at offset 154
2022-05-26 19:31:05,137 | ffb_producer | INFO | User record b'DE000VV1YWR3' successfully produced to trade-events [0] at offset 155
2022-05-26 19:31:05,152 | ffb_producer | INFO | User record b'DE000DV77U20' successfully produced to trade-events [0] at offset 156
2022-05-26 19:31:05,167 | ffb_producer | INFO | User record b'DE000SF3V921' successfully produced to trade-events [0] at offset 157
2022-05-26 19:31:05,181 | ffb_producer | INFO | User record b'DE000HG37XC7' successfully produced to trade-events [0] at offset 158
2022-05-26 19:31:05,198 | ffb_producer | INFO | User record b'DE000PD2Z6K1' successfully produced to trade-events [0] at offset 159
2022-05-26 19:31:05,213 | ffb_producer | INFO | User record b'DE000UW4PLL1' successfully produced to trade-events [0] at offset 160
2022-05-26 19:31:05,229 | ffb_producer | INFO | User record b'DE000GK16QS5' successfully produced to trade-events [0] at offset 161
2022-05-26 19:31:05,245 | ffb_producer | INFO | User record b'DE000PH72J40' successfully produced to trade-events [0] at offset 162
2022-05-26 19:31:05,260 | ffb_producer | INFO | User record b'DE000GK2N7C4' successfully produced to trade-events [0] at offset 163
2022-05-26 19:31:05,276 | ffb_producer | INFO | User record b'DE000SD02ZW8' successfully produced to trade-events [0] at offset 164
2022-05-26 19:31:05,291 | ffb_producer | INFO | User record b'DE000VX9DYK9' successfully produced to trade-events [0] at offset 165
2022-05-26 19:31:05,307 | ffb_producer | INFO | User record b'DE000SN04AQ8' successfully produced to trade-events [0] at offset 166
2022-05-26 19:31:05,322 | ffb_producer | INFO | User record b'DE000SH66WH2' successfully produced to trade-events [0] at offset 167
2022-05-26 19:31:05,337 | ffb_producer | INFO | User record b'DE000HG3B156' successfully produced to trade-events [0] at offset 168
2022-05-26 19:31:05,352 | ffb_producer | INFO | User record b'DE000SN04A74' successfully produced to trade-events [0] at offset 169
2022-05-26 19:31:05,369 | ffb_producer | INFO | User record b'DE000PD2TN23' successfully produced to trade-events [0] at offset 170
2022-05-26 19:31:05,385 | ffb_producer | INFO | User record b'DE000KF6LPF1' successfully produced to trade-events [0] at offset 171
2022-05-26 19:31:05,400 | ffb_producer | INFO | User record b'DE000TT7R188' successfully produced to trade-events [0] at offset 172
2022-05-26 19:31:05,416 | ffb_producer | INFO | User record b'DE000PN1RBG2' successfully produced to trade-events [0] at offset 173
2022-05-26 19:31:05,432 | ffb_producer | INFO | User record b'DE000NG5DAZ6' successfully produced to trade-events [0] at offset 174
2022-05-26 19:31:05,446 | ffb_producer | INFO | User record b'DE000VV17CX9' successfully produced to trade-events [0] at offset 175
2022-05-26 19:31:05,461 | ffb_producer | INFO | User record b'DE000VX9VRK5' successfully produced to trade-events [0] at offset 176
2022-05-26 19:31:05,478 | ffb_producer | INFO | User record b'DE000NG5HK25' successfully produced to trade-events [0] at offset 177
2022-05-26 19:31:05,493 | ffb_producer | INFO | User record b'DE000KG17WV5' successfully produced to trade-events [0] at offset 178
2022-05-26 19:31:05,508 | ffb_producer | INFO | User record b'DE000KG3C9L3' successfully produced to trade-events [0] at offset 179
2022-05-26 19:31:05,524 | ffb_producer | INFO | User record b'DE000KG24649' successfully produced to trade-events [0] at offset 180
2022-05-26 19:31:05,539 | ffb_producer | INFO | User record b'DE000PD5K1L4' successfully produced to trade-events [0] at offset 181
2022-05-26 19:31:05,553 | ffb_producer | INFO | User record b'DE000GH8Y1F7' successfully produced to trade-events [0] at offset 182
2022-05-26 19:31:05,570 | ffb_producer | INFO | User record b'DE000DW144M1' successfully produced to trade-events [0] at offset 183
